40001|1|1|5|Ποιo όχημα είναι επιβατικό;|0|GA-1|A01
40002|1|2|5|Ποιo όχημα είναι φορτηγό;|0|GA-2|A 02
40003|1|1|5|Με δίπλωμα αυτοκινήτου μπορείς να οδηγείς αυτό το μοτοποδήλατο;|Q03|GA-3|A 03
40004|1|2|5|Με δίπλωμα επιβατικού αυτοκινήτου μπορείς να οδηγείς αυτό το φορτηγάκι;|Q04|GA-4|A 04
40005|1|1|5|Αυτό είναι ένα φορτηγό αυτοκίνητο επειδή μεταφέρει πράγματα στην καρότσα;|Q05|GA-5|A 05
40006|1|2|5|Αυτό είναι ένα επιβατικό αυτοκίνητο και επιτρέπεται να μεταφέρει τόσους επιβάτες όσους γράφει η άδεια κυκλοφορίας;|Q06|GA-6|A 06
40007|1|1|5|Με δίπλωμα για μεγάλο φορτηγό μπορείς να οδηγείς αυτό το όχημα;|Q07|GA-7|A 07
40008|1|2|5|Με δίπλωμα αυτοκινήτου μπορείς να οδηγείς αυτήν τη μοτοσικλέτα με 4 ρόδες;|Q08|GA-8|A 08
40009|1|1|5|Για ποιο όχημα χρειάζεσαι δίπλωμα μοτοσικλέτας;|0|GA-9|A 09
40010|1|2|5|Ποιο όχημα μπορείς να οδηγείς με δίπλωμα αυτοκινήτου;|0|GA-10|A 10
40011|1|1|5|Ποιο όχημα μπορείς να οδηγείς με δίπλωμα αυτοκινήτου;|0|GA-11|A 11
40012|1|2|5|Ποιο όχημα μπορείς να οδηγείς με δίπλωμα αυτοκινήτου;|0|GA-12|A 12
40013|1|1|5|Με δίπλωμα αυτοκινήτου μπορείς να οδηγείς αυτήν τη μοτοσικλέτα;|Q13|GA-13|A 13
40014|1|2|5|Ποιoς δρόμος είναι αυτoκινητόδρομος;|0|GA-14|A 14
40015|1|1|5|Ποιoς δρόμος είναι δρόμος ταχείας κυκλοφορίας;|0|GA-15|A 15
40016|1|2|5|Σ’ αυτήν τη φωτογραφία ποιος είναι ο συμπλέκτης;|Q16|GA-16|A 16
40017|1|1|5|Σ’ αυτήν τη φωτογραφία ποιο είναι το φρένο;|Q17|GA-17|A 17
40018|1|2|5|Σ’ αυτήν τη φωτογραφία ποιο είναι το γκάζι;|Q18|GA-18|A 18
40019|1|1|5|Υπάρχουν τρία πετάλια στο αυτοκίνητο. Ο συμπλέκτης, το φρένο και το γκάζι. Το φρένο το πατάμε με το δεξί πόδι;|Q19|GA-19|A 19
40020|1|2|5|Υπάρχουν τρία πετάλια στο αυτοκίνητο. Ο συμπλέκτης, το φρένο και το γκάζι. Το γκάζι το πατάμε με το δεξί πόδι;|Q20|GA-20|A 20
40021|1|1|5|Σε ποια φωτογραφία ο οδηγός πατάει σωστά το φρένο;|0|GA-21|A 21
40022|1|2|5|Ποιο λαμπάκι στο ταμπλό δείχνει πρόβλημα στο λάδι;|0|GA-22|A 22
40023|1|1|5|Ποιο λαμπάκι στο ταμπλό δείχνει πρόβλημα στη μπαταρία;|0|GA-23|A 23
40024|1|2|5|Ποιο λαμπάκι στο ταμπλό δείχνει πρόβλημα στη θερμοκρασία της μηχανής;|0|GA-24|A 24
40025|1|1|5|Ποιο λαμπάκι στο ταμπλό δείχνει πρόβλημα στα φρένα;|0|GA-25|A 25
40026|1|2|5|Στο ταμπλό υπάρχουν τα λαμπάκια που δείχνουν το λάδι και τη μπαταρία. Αν ανάψουν πρέπει να σταματήσεις;|Q26|GA-26|A 26
40027|1|1|5|Αν ανάψει το λαμπάκι του λαδιού στο ταμπλό πρέπει να σταματήσεις;|Q27|GA-27|A 27
40028|1|2|5|Αν ανάψει στο ταμπλό το λαμπάκι των φρένων πρέπει να σταματήσεις αμέσως;|Q28|GA-28|A 28
40029|1|1|5|Αν ανάψει στο ταμπλό το λαμπάκι της θερμοκρασίας πρέπει να σταματήσεις αμέσως;|Q29|GA-29|A 29
40030|1|2|5|Ποιο λαμπάκι στο ταμπλό δείχνει ότι έχεις ανάψει τα μεσαία φώτα;|0|GA-30|A 30
40031|1|1|5|Ποιο λαμπάκι στο ταμπλό δείχνει ότι έχεις ανάψει τα μεγάλα φώτα;|0|GA-31|A 31
40032|1|2|5|Ποιο λαμπάκι δείχνει ότι έχεις λίγη βενζίνη στο ντεπόζιτο;|0|GA-32|A 32
40033|1|1|5|Ποιο λαμπάκι στο ταμπλό δείχνει ότι έχεις ανάψει τα φλας;|0|GA-33|A 33
40034|1|2|5|Το πράσινο λαμπάκι στο ταμπλό σημαίνει ότι είναι αναμμένα τα μικρά φώτα;|Q34|GA-34|A 34
40035|1|1|5|Το πράσινο λαμπάκι στο ταμπλό σημαίνει ότι είναι αναμμένα τα μεσαία φώτα;|Q35|GA-35|A 35
